Gestures,Hand,HandPalmPosition,HandPalmOrientation
3,Left,"(26.6154, 369.282, -60.5918)","(0.0280985, 0.0428716, -0.998685)"
3,Left,"(24.7053, 369.387, -60.7779)","(0.0227516, 0.0485583, -0.998561)"
3,Left,"(22.8479, 369.496, -60.989)","(0.0217775, 0.0452325, -0.998739)"
3,Left,"(20.9658, 369.827, -61.1259)","(0.0208548, 0.0427498, -0.998868)"
3,Left,"(19.1472, 370.033, -61.1689)","(0.0171505, 0.0448149, -0.998848)"
3,Left,"(17.2169, 370.002, -61.093)","(0.0120553, 0.0436522, -0.998974)"
3,Left,"(15.3261, 370.046, -60.8828)","(0.00889903, 0.0382613, -0.999228)"
3,Left,"(11.4232, 370.296, -60.9638)","(0.00190149, 0.0464993, -0.998917)"
3,Left,"(9.62029, 370.423, -60.8042)","(-0.00383995, 0.0410497, -0.99915)"
3,Left,"(7.58665, 370.292, -60.6635)","(-0.00899778, 0.04009, -0.999156)"
3,Left,"(5.6518, 370.158, -60.8675)","(-0.0129469, 0.0396565, -0.999129)"
3,Left,"(3.61727, 370.193, -60.9219)","(-0.0195172, 0.0431575, -0.998878)"
3,Left,"(1.74718, 369.998, -60.8711)","(-0.0205388, 0.0436211, -0.998837)"
3,Left,"(-2.24333, 369.952, -60.6928)","(-0.0261484, 0.045844, -0.998606)"
3,Left,"(-4.1981, 369.905, -60.6885)","(-0.0326135, 0.0498845, -0.998222)"
3,Left,"(-6.25033, 369.967, -60.5488)","(-0.037865, 0.0461782, -0.998215)"
3,Left,"(-8.29855, 369.9, -60.4877)","(-0.042604, 0.041074, -0.998247)"
3,Left,"(-10.355, 369.816, -60.2149)","(-0.0417079, 0.0372226, -0.998436)"
3,Left,"(-12.4301, 369.991, -59.8899)","(-0.0446797, 0.0323587, -0.998477)"
3,Left,"(-14.4951, 370.152, -59.6694)","(-0.0463973, 0.0346834, -0.998321)"
3,Left,"(-16.6763, 370.27, -59.5526)","(-0.0507387, 0.0370416, -0.998025)"
3,Left,"(-18.8375, 369.957, -59.439)","(-0.0566659, 0.0328857, -0.997851)"
3,Left,"(-21.004, 369.859, -59.3283)","(-0.061312, 0.0345223, -0.997521)"
3,Left,"(-23.1384, 369.643, -59.1084)","(-0.0651139, 0.0298097, -0.997432)"
3,Left,"(-25.3489, 369.868, -58.9778)","(-0.0660242, 0.0324165, -0.997291)"
3,Left,"(-27.615, 369.869, -58.7914)","(-0.0715307, 0.0427971, -0.99652)"
3,Left,"(-29.9318, 369.644, -58.8785)","(-0.07451, 0.0376023, -0.996511)"
3,Left,"(-32.2114, 369.448, -58.8763)","(-0.0783157, 0.0386254, -0.99618)"
3,Left,"(-34.5831, 369.41, -58.915)","(-0.0822506, 0.0362961, -0.995951)"
3,Left,"(-36.9907, 369.12, -58.8971)","(-0.0846012, 0.0372619, -0.995718)"
3,Left,"(-39.3853, 369.155, -58.8653)","(-0.087499, 0.0358958, -0.995518)"
3,Left,"(-41.7966, 369.327, -58.8119)","(-0.0894872, 0.0357841, -0.995345)"
3,Left,"(-44.3132, 369.478, -58.6031)","(-0.0955005, 0.032461, -0.9949)"
3,Left,"(-46.7295, 369.805, -58.5151)","(-0.098468, 0.040549, -0.994314)"
3,Left,"(-49.1781, 369.934, -58.4244)","(-0.102048, 0.0439587, -0.993808)"
